"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"ASV51"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Rhizobacter"
"ASV52"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	NA
"ASV53"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Lechevalieria"
"ASV54"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	NA
"ASV55"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"
"ASV56"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
"ASV57"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Streptomyces"
"ASV58"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Acidovorax"
"ASV59"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Lechevalieria"
"ASV60"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Sporacetigenium"
"ASV61"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"ASV62"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	NA
"ASV63"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Variovorax"
"ASV64"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV65"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"	"Actinocorallia"
