"","Plate.ID","qPCR.DNA.ID","Sample.ID","Location","Background","Genotype","Compartment","Replicate","Field_ID","Well","qPCR.Method","LinRegPCR","qPCR.Replicate","indiv.PCR.eff.ZmActin1A","R2.ZmActin1A","threshold.ZmActin1A","Cq.ZmActin1A","indiv.PCR.eff.ZmActin1B","R2.ZmActin1B","threshold.ZmActin1B","Cq.ZmActin1B","indiv.PCR.eff.799F904R","R2.799F904R","threshold.799F904R","Cq.799F904R","Mean.PCR.eff.799F904R","RB"
"15","C302SOLT","C302SOLT_Aurora_W22_bx2_root_8_14.8_1","Aurora_W22_bx2_root_8_14.8","Aurora","W22","bx2","root",8,14.8,"O1","HOT FIREPOL","Multi per target",1,1.79082438864787,0.998850523128075,0.382,33.7152981236681,1.80614364671593,0.998993855880921,0.4285,31.8707188499213,1,0,0.0405,0,1.41174202394875,2505542902.75614
"16","C302SOLT","C302SOLT_Aurora_W22_bx2_root_NA_NA_1","Aurora_W22_bx2_root_NA_NA","Aurora","W22","bx2","root",NA,NA,"A23","HOT FIREPOL","Multi per target",1,1.8555800916329,0.999906054013244,0.382,32.1482619443318,1.87849332786952,0.999309000218776,0.4285,29.2030193305043,1.58560326562062,0.971579631104235,0.0405,29.9730342212447,1.41174202394875,29746.3070381319
"17","C302SOLT","C302SOLT_Aurora_W22_bx6_root_1_15.1_1","Aurora_W22_bx6_root_1_15.1","Aurora","W22","bx6","root",1,15.1,"C3","HOT FIREPOL","Multi per target",1,1.83837423218986,0.99988527009856,0.382,28.4105393382309,1.92053015763956,0.998116842500437,0.4285,26.6122531253534,2.24424090064799,0.97197799815637,0.0405,26.6566812726258,1.41174202394875,8474.22364854289
"18","C302SOLT","C302SOLT_Aurora_W22_bx6_root_2_15.2_1","Aurora_W22_bx6_root_2_15.2","Aurora","W22","bx6","root",2,15.2,"M1","HOT FIREPOL","Multi per target",1,1.91124392790602,0.999455125988978,0.382,28.1618456434913,1.91015978800769,0.999668227297301,0.4285,26.2278924923545,1,0,0.0405,0,1.41174202394875,70917165.7019728
"19","C302SOLT","C302SOLT_Aurora_W22_bx6_root_3_15.3_1","Aurora_W22_bx6_root_3_15.3","Aurora","W22","bx6","root",3,15.3,"I3","HOT FIREPOL","Multi per target",1,1.94857906837666,0.997830162298811,0.382,27.436389471997,1.91274196057974,0.999888881364481,0.4285,25.7658740141268,1.51271124431849,0.937564396451283,0.0405,24.3780527114368,1.41174202394875,9948.7934977438
"20","C302SOLT","C302SOLT_Aurora_W22_bx6_root_4_15.4_1","Aurora_W22_bx6_root_4_15.4","Aurora","W22","bx6","root",4,15.4,"I5","HOT FIREPOL","Multi per target",1,1.874952900764,0.999333291534037,0.382,26.5003124113839,1.82343756272255,0.99968090437193,0.4285,24.9514938403765,1.5810020576368,0.997453256283495,0.0405,24.8508644790467,1.41174202394875,4634.59381395975
"21","C302SOLT","C302SOLT_Aurora_W22_bx6_root_5_15.5_1","Aurora_W22_bx6_root_5_15.5","Aurora","W22","bx6","root",5,15.5,"O3","HOT FIREPOL","Multi per target",1,1.82581479264169,0.999518869372737,0.382,27.885106894287,1.87143744259108,0.998275429292357,0.4285,26.1083489232815,1,0,0.0405,0,1.41174202394875,59375076.9079938
"22","C302SOLT","C302SOLT_Aurora_W22_bx6_root_6_15.6_1","Aurora_W22_bx6_root_6_15.6","Aurora","W22","bx6","root",6,15.6,"K1","HOT FIREPOL","Multi per target",1,1.86734384236487,0.998191137537479,0.382,26.8832629978915,1.96122280950911,0.998613595436432,0.4285,25.3992267682201,2.10001605666623,0.995638041286192,0.0405,24.3594499210108,1.41174202394875,7020.36625201035
"23","C302SOLT","C302SOLT_Aurora_W22_bx6_root_7_15.7_1","Aurora_W22_bx6_root_7_15.7","Aurora","W22","bx6","root",7,15.7,"C1","HOT FIREPOL","Multi per target",1,1.8879871898459,0.998391940893797,0.382,29.0150065707804,1.85329944358654,0.999508616233877,0.4285,27.0317096713101,1.92753698494339,0.999999999361581,0.0405,26.630712454908,1.41174202394875,12603.6925966522
"24","C302SOLT","C302SOLT_Aurora_W22_bx6_root_8_15.8_1","Aurora_W22_bx6_root_8_15.8","Aurora","W22","bx6","root",8,15.8,"E1","HOT FIREPOL","Multi per target",1,1.8544887469213,0.999744726339201,0.382,28.360854389864,1.86019559029594,0.999576806982606,0.4285,26.4310371721849,2.65950339606666,0.976533703739911,0.0405,26.8370911397328,1.41174202394875,7713.1499956691
"25","C302SOLT","C302SOLT_Aurora_W22_WT_root_1_11.1_1","Aurora_W22_WT_root_1_11.1","Aurora","W22","WT","root",1,11.1,"E7","HOT FIREPOL","Multi per target",1,1.97083079708874,0.998626358349145,0.382,27.7734404282604,1.88769036614849,0.99967526288644,0.4285,25.6357770966206,1.54982911105055,0.973915966848399,0.0405,25.4185549560654,1.41174202394875,8628.00171826503
"26","C302SOLT","C302SOLT_Aurora_W22_WT_root_3_11.3_1","Aurora_W22_WT_root_3_11.3","Aurora","W22","WT","root",3,11.3,"K3","HOT FIREPOL","Multi per target",1,1.89088086098267,0.998893745576534,0.382,27.0005760998328,1.90601843277419,0.999434908529351,0.4285,25.3413786501158,1.61460902218468,0.976280306953826,0.0405,26.0034467023458,1.41174202394875,4294.04062266281
"27","C302SOLT","C302SOLT_Aurora_W22_WT_root_4_11.4_1","Aurora_W22_WT_root_4_11.4","Aurora","W22","WT","root",4,11.4,"K5","HOT FIREPOL","Multi per target",1,1.94533506954353,0.998393467590772,0.382,28.2593996400499,1.94661929951276,0.999177004611985,0.4285,26.3474099716017,1.55429331217971,0.934171898013447,0.0405,26.402831930581,1.41174202394875,8394.24436460867
"28","C302SOLT","C302SOLT_Aurora_W22_WT_root_6_11.6_1","Aurora_W22_WT_root_6_11.6","Aurora","W22","WT","root",6,11.6,"A5","HOT FIREPOL","Multi per target",1,1.91710030329785,0.999722438335647,0.382,28.5245036863023,1.929050537343,0.997569852987525,0.4285,26.3448729563712,2.16505847499874,0.962383685098533,0.0405,27.3314546291497,1.41174202394875,7224.68881441142
"29","C302SOLT","C302SOLT_Aurora_W22_WT_root_7_11.7_1","Aurora_W22_WT_root_7_11.7","Aurora","W22","WT","root",7,11.7,"O5","HOT FIREPOL","Multi per target",1,1.89045250570185,0.999381370052965,0.382,28.3388690761035,1.95180487879149,0.998818871666961,0.4285,26.7360934456898,1,0,0.0405,0,1.41174202394875,79451235.5729355
"30","C302SOLT","C302SOLT_Aurora_W22_WT_root_8_11.8_1","Aurora_W22_WT_root_8_11.8","Aurora","W22","WT","root",8,11.8,"A1","HOT FIREPOL","Multi per target",1,1.86499914206297,0.999814772860035,0.382,28.1121152658675,1.82316308684013,0.999823303971416,0.4285,26.1911947675985,2.2242804141792,0.972419582103317,0.0405,26.840628847222,1.41174202394875,6566.89890089522
"31","C302SOLT","C302SOLT_Aurora_W22_WT_root_NA_11.2_1","Aurora_W22_WT_root_NA_11.2","Aurora","W22","WT","root",NA,11.2,"O21","HOT FIREPOL","Multi per target",1,1.88106795990672,0.999863427016379,0.382,31.7574799310082,1.82721002772649,0.998202312345807,0.4285,27.1607615467995,1.21618355978955,0.987150892637484,0.0405,31.3632782508871,1.41174202394875,14331.6852345429
