OTUId	R44_1193R_F67_799F	R45_1193R_F61_799F	R44_1193R_F71_799F	R44_1193R_F69_799F	R44_1193R_F63_799F	R44_1193R_F65_799F	R45_1193R_F63_799F	R45_1193R_F65_799F	R45_1193R_F67_799F	R43_1193R_F65_799F	R43_1193R_F63_799F	R43_1193R_F67_799F	R43_1193R_F69_799F	R43_1193R_F61_799F	R43_1193R_F71_799F	R44_1193R_F61_799F	R46_1193R_F63_799F	R46_1193R_F61_799F	R46_1193R_F65_799F	R45_1193R_F71_799F	R46_1193R_F67_799F	R45_1193R_F69_799F	R4_1193R_F20_799F	R4_1193R_F19_799F	R4_1193R_F21_799F	R4_1193R_F18_799F	R3_1193R_F35_799F	R3_1193R_F34_799F	R3_1193R_F33_799F	R3_1193R_F36_799F	R3_1193R_F37_799F	R3_1193R_F31_799F	R3_1193R_F32_799F	R3_1193R_F30_799F	R4_1193R_F17_799F	R3_1193R_F38_799F	R4_1193R_F27_799F	R4_1193R_F28_799F	R4_1193R_F29_799F	R4_1193R_F25_799F	R4_1193R_F26_799F	R4_1193R_F30_799F	R4_1193R_F31_799F	R4_1193R_F22_799F	R4_1193R_F23_799F	R4_1193R_F24_799F	R3_1193R_F21_799F	R3_1193R_F22_799F	R3_1193R_F19_799F	R3_1193R_F18_799F	R3_1193R_F17_799F	R3_1193R_F20_799F	R3_1193R_F27_799F	R3_1193R_F26_799F	R3_1193R_F28_799F	R3_1193R_F25_799F	R3_1193R_F29_799F	R3_1193R_F23_799F	R3_1193R_F24_799F	R41_1193R_F71_799F	R41_1193R_F69_799F	R42_1193R_F61_799F	R41_1193R_F67_799F	R41_1193R_F65_799F	R42_1193R_F71_799F	R42_1193R_F69_799F	R42_1193R_F67_799F	R42_1193R_F63_799F	R42_1193R_F65_799F	R40_1193R_F65_799F	R40_1193R_F63_799F	R40_1193R_F67_799F	R4_1193R_F34_799F	R4_1193R_F33_799F	R4_1193R_F35_799F	R4_1193R_F32_799F	R4_1193R_F36_799F	R40_1193R_F61_799F	R4_1193R_F37_799F	R4_1193R_F38_799F	R41_1193R_F61_799F	R41_1193R_F63_799F	R40_1193R_F71_799F	R40_1193R_F69_799F
OTU2327	0	1	0	0	0	0	33	0	0	0	10	0	0	0	0	0	57	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU908	0	0	0	0	0	0	161	0	0	1	98	0	0	1	0	0	42	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	7	0	0	0	0	0	0	0	1	0	0	81	0	0
OTU3164	0	0	0	0	0	0	9	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU2478	0	0	0	0	0	0	89	0	1	0	17	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1296	0	0	0	0	0	0	278	0	0	0	220	0	0	0	1	0	7	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	9	0	1	5	0	0	0	0	0	0	0	3	0	1	175	0	0
OTU3744	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
OTU2763	0	1	0	0	0	0	32	0	1	0	32	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
OTU3253	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3814	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2894	0	0	0	0	0	0	5	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
